name,city,state,country,address,zipcode,website,phone
Grosvenor Market,North Bethesda,MD,,,,http://www.grosvenormarket.com/,
Craft Coffee,,,,,,http://www.craftcoffee.com/,
"Dolcezza Gelato, Dupont Circle",Washington,DC,,,,http://dolcezzagelato.com/,
"Dolcezza Gelato, Bethesda Row",Bethesda,MD,,,,http://dolcezzagelato.com/,
"Filter Coffeehouse & Espresso Bar, Dupont Circle",Washington,DC,,,,http://filtercoffeehouse.com/,
"Peregrine Espresso, Eastern Market",Washington,DC,,,,http://peregrineespresso.com/,
Tryst,Washington,DC,,,,http://www.trystdc.com/,
